model,arm,task,lang,press,kept,n,acc_official,acc_recomputed,acc_robust,delta_robust
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.5,100,0.44,0.44,0.44,0.0
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.25,100,0.04,0.04,0.04,0.0
qwen25-7b-1m,qa,niah_single,pl,none,1.0,100,0.99,0.99,0.99,0.0
qwen25-7b-1m,qa,niah_single,pl,knorm,0.5,100,0.19,0.19,0.19,0.0
qwen25-7b-1m,qa,niah_single,pl,knorm,0.25,100,0.01,0.01,0.01,0.0
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.5,100,0.94,0.94,0.94,0.0
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.25,100,0.73,0.73,0.73,0.0
qwen25-7b-1m,qa,niah_single,ko,none,1.0,100,1.0,1.0,1.0,0.0
qwen25-7b-1m,qa,niah_single,ko,knorm,0.5,100,0.64,0.64,0.64,0.0
qwen25-7b-1m,qa,niah_single,ko,knorm,0.25,100,0.04,0.04,0.04,0.0
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.5,100,0.46,0.46,0.46,0.0
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.25,100,0.28,0.28,0.28,0.0
llama31-8b,joint,niah_single,sw,snapkv,0.25,100,0.92,0.92,0.92,0.0
llama31-8b,joint,niah_single,sw,none,1.0,100,0.92,0.92,0.92,0.0
llama31-8b,joint,niah_single,sw,knorm,0.5,100,0.62,0.62,0.62,0.0
llama31-8b,joint,niah_single,sw,knorm,0.25,100,0.07,0.07,0.07,0.0
llama31-8b,joint,niah_single,pl,streaming_llm,0.5,100,0.33,0.33,0.33,0.0
llama31-8b,joint,niah_single,pl,streaming_llm,0.25,100,0.13,0.13,0.13,0.0
llama31-8b,joint,niah_single,pl,snapkv,0.5,100,0.83,0.83,0.83,0.0
llama31-8b,joint,niah_single,pl,snapkv,0.25,100,0.83,0.83,0.83,0.0
llama31-8b,joint,niah_single,pl,none,1.0,100,0.84,0.84,0.84,0.0
llama31-8b,joint,niah_single,pl,knorm,0.5,100,0.34,0.34,0.34,0.0
llama31-8b,joint,niah_single,pl,knorm,0.25,100,0.03,0.03,0.03,0.0
qwen25-7b-1m,qa,niah_single,zh,none,1.0,100,0.98,0.98,0.98,0.0
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.25,100,0.11,0.11,0.11,0.0
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.5,100,0.36,0.36,0.36,0.0
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.25,100,0.27,0.27,0.27,0.0
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.5,100,0.43,0.43,0.43,0.0
llama31-8b,joint,niah_single,en,knorm,0.25,100,0.16,0.16,0.16,0.0
